icao,iata,municipio,uf,lat,lon
SBRJ,,Rio de Janeiro,Rio de Janeiro,-22.91,-43.1625
SBRP,,Ribeirão Preto,São Paulo,-21.136389,-47.776667
SBSG,,Natal,Rio Grande do Norte,-5.7688889,-35.366389
SBSL,,São Luís,Maranhão,-2.5869444,-44.236111
SBSM,,Santa Maria,Rio Grande do Sul,-29.710833,-53.692222
SBSN,,Santarém,Pará,-2.4247222,-54.785833
SBSO,,Sorriso,Mato Grosso,-12.472778,-55.668889
SBSP,,São Paulo,São Paulo,-23.626111,-46.656389
SBSR,,São José do Rio Preto,São Paulo,-20.816111,-49.404722
SBSV,,Salvador,Bahia,-12.908611,-38.3225
SBTB,,Oriximiná,Pará,-1.4897222,-56.396944
SBTC,,Una,Bahia,-15.353333,-38.997222
SBTD,,Toledo,Paraná,-24.685278,-53.696389
SBTE,,Teresina,Piauí,-5.0605556,-42.824444
SBTF,,Tefé,Amazonas,-3.3802778,-64.725278
SBTG,,Três Lagoas,Mato Grosso do Sul,-20.751389,-51.680278
SBTT,,Tabatinga,Amazonas,-4.2505556,-69.937778
SBTU,,Tucuruí,Pará,-3.7769444,-49.719722
SBUA,,São Gabriel da Cachoeira,Amazonas,-0.14805556,-66.985833
SBUG,,Uruguaiana,Rio Grande do Sul,-29.783333,-57.036944
SBUL,,Uberlândia,Minas Gerais,-18.883611,-48.225278
SBUR,,Uberaba,Minas Gerais,-19.764722,-47.966111
SBVH,,Vilhena,Rondônia,-12.694167,-60.097222
SBVT,,Vitória,Espírito Santo,-20.258056,-40.286389
SBZM,,Goianá,Minas Gerais,-21.513056,-43.173056
SNBR,,Barreiras,Bahia,-12.079167,-45.009444
SNEB,,Paragominas,Pará,-3.0197222,-47.316389
SNEE,,Vacaria,Rio Grande do Sul,-28.431944,-51.022778
SNGI,,Guanambi,Bahia,-14.208056,-42.746111
SNHS,,Serra Talhada,Pernambuco,-8.0613889,-38.328611
SNOX,,Oriximiná,Pará,-1.7136111,-55.835833
SNRU,,Caruaru,Pernambuco,-8.2844444,-36.010833
SNTF,,Teixeira de Freitas,Bahia,-17.524444,-39.668333
SNTI,,Óbidos,Pará,-1.8680556,-55.514444
SNTS,,Patos,Paraíba,-7.0377778,-37.2575
SNVS,,Breves,Pará,-1.6363889,-50.443333
SNYA,,Almeirim,Pará,-1.4791667,-52.578056
SSAP,,Apucarana,Paraná,-23.612222,-51.385
SSCN,,Canela,Rio Grande do Sul,-29.370556,-50.832222
SSCP,,Cornélio Procópio,Paraná,-23.1525,-50.6025
SSCT,,Cianorte,Paraná,-23.691667,-52.642222
SSER,,Erechim,Rio Grande do Sul,-27.663333,-52.271944
SSFB,,Francisco Beltrão,Paraná,-26.058889,-53.063333
SSGG,,Guarapuava,Paraná,-25.388333,-51.523611
SSGY,,Guaíra,Paraná,-24.079722,-54.188056
SSKM,,Campo Mourão,Paraná,-24.0025,-52.356944
SSKW,,Cacoal,Rondônia,-11.495556,-61.450833
SSLT,,Alegrete,Rio Grande do Sul,-29.8125,-55.893333
SSOG,,Arapongas,Paraná,-23.355833,-51.490833
SSOU,,Paracatu,Minas-Gerais,-17.0369434357,-46.2602767944
SSPI,,Paranavaí,Paraná,-23.09,-52.488611
SSSB,,São Borja,Rio Grande do Sul,-28.654722,-56.034722
SSSC,,Santa Cruz do Sul,Rio Grande do Sul,-29.684167,-52.412222
SSUM,,Umuarama,Paraná,-23.799167,-53.313889
SSUV,,União da Vitória,Paraná,-26.231667,-51.068889
SSVL,,Telêmaco Borba,Paraná,-24.316389,-50.652222
SSZR,,Santa Rosa,Rio Grande do Sul,-27.908889,-54.522222
SWFX,,São Félix do Araguaia,Mato Grosso,-11.631944,-50.688333
SWHP,,Água Boa,Mato Grosso,-14.019722,-52.151944
SWJN,,Juína,Mato Grosso,-11.419444,-58.71
SWKO,,Coari,Amazonas,-4.1338889,-63.131111
SWLB,,Lábrea,Amazonas,-7.2788889,-64.769444
SWLC,,Rio Verde,Goiás,-17.834722,-50.956111
SWMW,,Maués,Amazonas,-3.3569444,-57.712222
SWPI,,Parintins,Amazonas,-2.6694444,-56.771111
SWSI,OPS,Sinop,Mato-Grosso,-11.8850002289,-55.5861091614
SWTS,,Tangará da Serra,Mato Grosso,-14.661944,-57.443889
SBCZ,,Cruzeiro do Sul,Acre,-7.5994444,-72.769444
SBRB,,Rio Branco,Acre,-9.8683333,-67.898056
SBSI,,Sinop,Mato Grosso,-11.885,-55.586111
SWEI,,Eirunepé,Amazonas,-6.6375,-69.883056
SWGN,,Araguaína,Tocantins,-7.2283333,-48.240833
SWCA,,Carauari,Amazonas,-4.8713889,-66.8975
SBPF,,Passo Fundo,Rio Grande do Sul,-28.244167,-52.328333
SNCP,,Lages,Santa Catarina,-27.634167,-50.358333
SNMA,,Monte Alegre,Pará,-1.9966667,-54.071389
SNMZ,,Porto de Moz,Pará,-1.7413889,-52.235833
SWBC,,Barcelos,Amazonas,-0.98083333,-62.918889
SBVC,,Vitória da Conquista,Bahia,-14.907778,-40.914722
SNCL,,Cairu,Bahia,-13.3894443512,-38.9099998474
SIRI,,Marau,Bahia,-13.9036111832,-38.9358329773
